Location,Region,District,Street,Price,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Norq Marash, Norq 9 St",Yerevan, Norq Marash, Norq 9 St,8000.0,4506,1200,7,3,5,Stone,3.2,Newly repaired,19.04.2019,08.07.2019,08.05.2022,40.1791062,44.5427135,"84a, Նորքի 9-րդ փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Heater,Fireplace,Eurowindows,Grating,Irondoor,Loggia,Openbalcony,Balcony,Storageroom,Basement,Tile,Laminateflooring,Parquet,Heatedfloor,Securitysystem,Gym,Swimmingpool,Sunny,View,Bilateral,Closetothebusstation,Garage,Playground,Park,Gate,Fence,Sauna",https://myrealty.am/en/house-for-rent/Norq+9+St/Norq+Marash/Yerevan/76333,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
"Yerevan, Davtashen, Davtashen 7 St",Yerevan, Davtashen, Davtashen 7 St,1700.0,3766,600,4,1,2,Stone,3.2,Newly repaired,18.04.2019,08.07.2019,08.05.2022,40.215915,44.4815416,"23, Դավթաշենի 7-րդ փողոց, Դավթաշեն գյուղ, Դավթաշեն, Երևան, 0048, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Balcony,Attic,Basement,Tile,Parquet,Swimmingpool,Sunny,Garage,Playground,Park,Buildingexistence,Highfirstfloor",https://myrealty.am/en/house-for-rent/Davtashen+7+St/Davtashen/Yerevan/76175,0,,0,,,for rent,house,bars.am,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0
"Yerevan, Davtashen, Davtashen 7 St",Yerevan, Davtashen, Davtashen 7 St,1700.0,4564,600,4,1,2,Stone,3.2,Newly repaired,17.04.2019,05.02.2020,08.05.2022,40.215915,44.4815416,"23, Դավթաշենի 7-րդ փողոց, Դավթաշեն գյուղ, Դավթաշեն, Երևան, 0048, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Heater,Fireplace,Eurowindows,Grating,Irondoor,Openbalcony,Balcony,Attic,Basement,Tile,Laminateflooring,Parquet,Heatedfloor,Securitysystem,Swimmingpool,Sunny,View,Bilateral,Garage,Playground,Park,Buildingexistence,Gate,Fence,Highfirstfloor",https://myrealty.am/en/new-build-house-for-rent/Davtashen+7+St/Davtashen/Yerevan/76143,0,,0,,,for rent,house,myrealty.am,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1
"Yerevan, Malatia-Sebastia, Argavand St",Yerevan, Malatia-Sebastia, Argavand St,1500.0,4301,800,5,2,1,Other,2.8,Newly repaired,30.03.2019,23.12.2019,08.05.2022,40.1686452,44.457492,"Սեբաստիայի փողոց, Մալաթիա-Սեբաստիա, Երևան, 0032, Հայաստան","Heating,Gas,Hotwater,Electricity,water24/7,Water","Furniture,Equipment,View",https://myrealty.am/en/house-for-rent/Argavand+St/Malatia-Sebastia/Yerevan/74794,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Yerevan, Qanaqer-Zeytun, A.Aharonyan St",Yerevan, Qanaqer-Zeytun, A.Aharonyan St,1500.0,3589,182,4,2,3,Stone,2.8,Newly repaired,28.03.2019,28.03.2019,08.05.2022,40.2018217,44.538284,"20, Ավետիս Ահարոնյանի փողոց, Քանաքեռ-Զեյթուն, Երևան, 0069, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Tile,Laminateflooring,Securitysystem,Gym,Sunny,Bilateral,Roadside,Closetothebusstation,Parking,Garage,Playground,Park,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/A.Aharonyan+St/Qanaqer-Zeytun/Yerevan/74653,0,,0,,,for rent,house,bars.am,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0
"Yerevan, Qanaqer-Zeytun, A.Aharonyan St",Yerevan, Qanaqer-Zeytun, A.Aharonyan St,3000.0,3920,492,6,2,3,Stone,2.8,Newly repaired,28.03.2019,28.03.2019,08.05.2022,40.2018217,44.538284,"20, Ավետիս Ահարոնյանի փողոց, Քանաքեռ-Զեյթուն, Երևան, 0069, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Storageroom,Tile,Parquet,Securitysystem,Gym,Sunny,Bilateral,Roadside,Closetothebusstation,Parking,Garage,Playground,Park,Buildingexistence,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/A.Aharonyan+St/Qanaqer-Zeytun/Yerevan/74652,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0
"Yerevan, Arabkir, Arabkir 35 St",Yerevan, Arabkir, Arabkir 35 St,1500.0,3717,320,4,3,2,Stone,2.8,Newly repaired,23.03.2019,17.12.2019,08.05.2022,40.2009665,44.5140377,"11, Արաբկիրի 35-րդ փողոց, Արաբկիր, Երևան, 0051, Հայաստան","Heating,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony",https://myrealty.am/en/house-for-rent/Arabkir+35+St/Arabkir/Yerevan/80924,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Vahagni district, Sevak st",Yerevan, Vahagni district, Sevak st,2500.0,3934,650,4,2,2,Stone,3.0,Good,22.03.2019,17.12.2019,08.05.2022,40.2149231,44.4516989,"Նեմրութի փողոց, Վահագնի թաղամաս, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Loggia,Openbalcony,Tile,Parquet,Sunny,View,Roadside,Closetothebusstation,Park",https://myrealty.am/en/house-for-rent/Sevak+st/Vahagni+district/Yerevan/74209,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1
"Yerevan, Arabkir, Barbyus St",Yerevan, Arabkir, Barbyus St,1600.0,4023,500,7,3,4,Stone,3.0,Newly repaired,21.03.2019,17.12.2019,08.05.2022,40.1987544,44.4887795,"2a, Բարբյուսի փողոց, Արաբկիր, Երևան, 0028, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Parquet,Sunny,View,Roadside,Closetothebusstation,Parking,Playground,Park",https://myrealty.am/en/house-for-rent/Barbyus+St/Arabkir/Yerevan/74067,0,,0,,,for rent,house,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1
"Kotayk, Abovyan, Hatis",Kotayk, Abovyan, Hatis,500.0,4837,600,4,2,2,Stone,3.0,Good,18.03.2019,14.01.2020,08.05.2022,40.2759844,44.6390545,"1/56, Հատիս փողոց, Աբովյան, Abovyan, Կոտայքի մարզ, 2205, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Centralheating,Gas,Water,water24/7","Furniture,Eurowindows,Irondoor,Openbalcony,Storageroom,Tile,Securitysystem,Gym,Sunny,View,Bilateral,Roadside,Closetothebusstation,Playground,Park,Gate,Fence,Highfirstfloor",https://myrealty.am/en/house-for-rent/Hatis/Abovyan/Kotayk/73696,0,,0,,,for rent,house,bars.am,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1
"Yerevan, Vahagni district, Vahakni District",Yerevan, Vahagni district, Vahakni District,1500.0,4073,500,4,2,2,Stone,3.2,Newly repaired,16.03.2019,27.01.2021,08.05.2022,40.21846885,44.44731064,"27, Արաքս փողոց, Վահագնի թաղամաս, Աջափնյակ, Երևան, 0029, Հայաստան","Heating,Internet,Hotwater,Air-conditioner,Gas","Furniture,Equipment,Loggia,Openbalcony,Tile,Sunny,View,Parking,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Vahakni+District/Vahagni+district/Yerevan/73665,0,,0,,,for rent,house,bars.am,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1
"Yerevan, Vahagni district, Vahakni District",Yerevan, Vahagni district, Vahakni District,2800.0,3895,350,6,4,5,Monolit,3.2,Newly repaired,16.03.2019,08.07.2019,08.05.2022,40.2149231,44.4516989,"Նեմրութի փողոց, Վահագնի թաղամաս, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Storageroom,Basement,Tile,Laminateflooring,Heatedfloor,Sunny,Roadside,Garage,Playground,Park",https://myrealty.am/en/new-build-house-for-rent/Vahakni+District/Vahagni+district/Yerevan/73598,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0
"Yerevan, Vahagni district, Arpa",Yerevan, Vahagni district, Arpa,3000.0,4298,650,5,2,3,Monolit,3.2,Newly repaired,16.03.2019,08.07.2019,08.05.2022,40.2149231,44.4516989,"Նեմրութի փողոց, Վահագնի թաղամաս, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Storageroom,Basement,Tile,Laminateflooring,Parquet,Sunny,View,Bilateral,Roadside,Garage,Playground,Park",https://myrealty.am/en/house-for-rent/Arpa/Vahagni+district/Yerevan/73587,0,,0,,,for rent,house,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1
"Yerevan, Arabkir, Sevastopolyan St",Yerevan, Arabkir, Sevastopolyan St,1500.0,3967,150,4,2,2,Monolit,3.0,Newly repaired,14.03.2019,20.12.2020,08.05.2022,40.1955546,44.4872314,"20, Սևաստոպոլյան փողոց, Արաբկիր, Երևան, 0028, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Irondoor,Sunny,View,Roadside,Closetothebusstation,Gate",https://myrealty.am/en/house-for-rent/Sevastopolyan+St/Arabkir/Yerevan/73481,0,,0,,,for rent,house,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Yerevan, Davtashen, Davtashen 10 St",Yerevan, Davtashen, Davtashen 10 St,1400.0,4534,250,4,2,1,Monolit,3.2,Newly repaired,14.03.2019,20.12.2020,08.05.2022,40.1478082,44.4895468,"23, Վերին Շենգավիթ 10րդ փողոց, Վերին Շենգավիթ, Շենգավիթ, Երևան, 0046, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Grating,Irondoor,Openbalcony,Heatedfloor,Swimmingpool,Sunny,View,Bilateral,Closetothebusstation,Parking,Garage",https://myrealty.am/en/new-build-house-for-rent/Davtashen+10+St/Davtashen/Yerevan/73471,0,,0,,,for rent,house,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
"Yerevan, Vahagni district, Vahakni District",Yerevan, Vahagni district, Vahakni District,2300.0,4074,650,7,2,3,Stone,3.0,Newly repaired,04.03.2019,08.07.2019,08.05.2022,40.220435,44.457267,"Արարատ Վալի քանթրի քլաբ, Աշտարակի խճուղի, Աջափնյակ, Երևան, 0088, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Basement,Tile,Laminateflooring,Sunny,View,Roadside,Garage,Playground,Park",https://myrealty.am/en/house-for-rent/Vahakni+District/Vahagni+district/Yerevan/72639,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1
"Yerevan, Norq Marash, Norq Marash",Yerevan, Norq Marash, Norq Marash,460.0,4415,110,3,1,1,Stone,2.8,Newly repaired,25.02.2019,23.12.2019,08.05.2022,40.184564,44.5407877,"Policlinic № 5, Արմենակ Արմենակյան փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Eurowindows,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Norq+Marash/Norq+Marash/Yerevan/85989,0,,0,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Arabkir, N. Tigranyan dead end",Yerevan, Arabkir, N. Tigranyan dead end,2500.0,3860,500,4,2,2,Stone,3.0,Newly repaired,21.02.2019,27.12.2020,08.05.2022,40.2053572,44.5199322,"5, Նիկողայոս Տիգրանյան փողոց, Արաբկիր, Երևան, 0014, Հայաստան","Electricity,water24/7,Water,Sewerage,Canalization,Heating,Gas,Hotwater,Air-conditioner,Centralheating","Openbalcony,Eurowindows,Tile,Laminateflooring,Sunny,View,Park,Irondoor,Swimmingpool",https://myrealty.am/en/house-for-rent/N.+Tigranyan+dead+end/Arabkir/Yerevan/72005,0,,0,,,for rent,house,bars.am,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1
"Yerevan, Center, Sarmen St",Yerevan, Center, Sarmen St,1000.0,3723,250,3,1,1,Stone,3.2,Newly repaired,21.02.2019,22.04.2021,08.05.2022,40.1931618,44.5083278,"Հայաստանի գիտությունների ազգային ակադեմիա, Գալոյան Եղբայրների փողոց, Կենտրոն, Երևան, 0077, Հայաստան","water24/7,Air-conditioner,Hotwater,Gas,Heating","Garage,Park,Sunny,Eurowindows,Openbalcony,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Sarmen+St/Center/Yerevan/71971,0,,0,,,for rent,house,bars.am,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Malatia-Sebastia, Noy district",Yerevan, Malatia-Sebastia, Noy district,1200.0,3867,700,3,1,2,Stone,3.0,Newly repaired,21.02.2019,23.12.2019,08.05.2022,36.1143218,-97.0751578,"Stillwater Women’s Clinic, 1411, West 7th Avenue, Stillwater, Payne County, Oklahoma, 74074, United States","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Tile,Swimmingpool,Sunny,View,Bilateral,Closetothebusstation,Garage,Gate,Fence",https://myrealty.am/en/house-for-rent/Noy+district/Malatia-Sebastia/Yerevan/71954,0,,1,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Yerevan, Malatia-Sebastia, Noy district",Yerevan, Malatia-Sebastia, Noy district,1200.0,4466,600,3,1,1,Monolit,3.0,Newly repaired,21.02.2019,27.04.2021,08.05.2022,40.19108701,44.4691747,"23/4, Լենինգրադյան փողոց, Աջափնյակ, Երևան, 0099, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Tile,Swimmingpool,Sunny,View,Bilateral,Closetothebusstation,Parking,Garage,Playground,Gate,Fence",https://myrealty.am/en/new-build-house-for-rent/Noy+district/Malatia-Sebastia/Yerevan/71944,0,,0,,,for rent,house,bars.am,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
"Yerevan, Achapnyak, G 1 dis.",Yerevan, Achapnyak, G 1 dis.,1000.0,4216,700,5,1,2,Stone,3.0,Newly repaired,19.02.2019,27.12.2020,08.05.2022,40.2199708,44.4359685,"103/3, Սիլիկյան թաղամաս 7-րդ փողոց, Սիլիկյան թաղամաս, Աջափնյակ, Երևան, 0029, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture,Irondoor,Sunny,Laminateflooring",https://myrealty.am/en/house-for-rent/G+1+dis./Achapnyak/Yerevan/71811,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Malatia-Sebastia, Noy district",Yerevan, Malatia-Sebastia, Noy district,1200.0,3903,600,3,1,2,Stone,3.0,Newly repaired,19.02.2019,02.08.2019,08.05.2022,36.1143218,-97.0751578,"Stillwater Women’s Clinic, 1411, West 7th Avenue, Stillwater, Payne County, Oklahoma, 74074, United States","Water,water24/7,Electricity,Hotwater,Gas,Heating","Swimmingpool,Irondoor,Fireplace,View,Sunny,Laminateflooring,Tile,Eurowindows,Storageroom,Equipment,Furniture",https://myrealty.am/en/house-for-rent/Noy+district/Malatia-Sebastia/Yerevan/71809,0,,1,,,for rent,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"Yerevan, Norq Marash, Norq 5 St",Yerevan, Norq Marash, Norq 5 St,2500.0,5122,800,4,2,3,Stone,3.2,Newly repaired,19.01.2017,17.12.2019,08.05.2022,40.1847793,44.5442223,"Toto, 3, Նորքի 8-րդ փողոց, Նորք Մարաշ, Երևան, 0047, Հայաստան","Heating,Gas,Hotwater,Internet,Air-conditioner,Electricity,water24/7,Water","Parquet,Sunny,View,Closetothebusstation,Roadside,Park,Equipment,Openbalcony,Balcony,Eurowindows,Tile,Furniture",https://myrealty.am/en/house-for-rent/Norq+5+St/Norq+Marash/Yerevan/34042,0,,0,,,for rent,house,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1
"Yerevan, Erebuni, Davit Bek St",Yerevan, Erebuni, Davit Bek St,3000.0,5427,950,5,3,2,Monolit,3.0,Newly repaired,16.01.2017,23.12.2019,08.05.2022,40.1661234,44.5443839,"97/21, Դավիթ Բեկի փողոց, Նոր Նորք, Երևան, 0092, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Parquet,Sunny,View,Roadside,Closetothebusstation,Park,Elevator",https://myrealty.am/en/house-for-rent/Davit+Bek+St/Erebuni/Yerevan/33836,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1
"Yerevan, Center, Aygestan St",Yerevan, Center, Aygestan St,3500.0,5588,400,4,2,2,Stone,3.0,Newly repaired,14.01.2017,17.12.2019,08.05.2022,40.1855318,44.5913313,"33, Ջրվեժի 5֊րդ փողոց, Նոր Նորք, Ջրվեժ, Գառնու տարածաշրջան, Կոտայքի մարզ, 0089, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Basement,Tile,Parquet,Heatedfloor,Securitysystem,Gym,Swimmingpool,Sunny,View,Garage,Park,Sauna",https://myrealty.am/en/new-build-house-for-rent/Aygestan+St/Center/Yerevan/33771,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
"Yerevan, Center, Proshyan 1 alley",Yerevan, Center, Proshyan 1 alley,1500.0,5815,150,6,2,2,Stone,3.0,Newly repaired,26.12.2016,23.12.2019,08.05.2022,40.1902107,44.5050317,"20/15, Պռոշյան պողոտա 1-ին նրբանցք, Կենտրոն, Երևան, 0077, Հայաստան","Heating,Gas,Hotwater,Internet,Air-conditioner,Electricity,water24/7,Water,Sewerage,Canalization","Eurowindows,Tile,Furniture,Equipment,Openbalcony",https://myrealty.am/en/house-for-rent/Proshyan+1+alley/Center/Yerevan/33319,0,,0,,,for rent,house,myrealty.am,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Arabkir, Baghramyan av(Arabkir)",Yerevan, Arabkir, Baghramyan av(Arabkir),2000.0,2662,300,7,3,3,Stone,3.0,Newly repaired,22.12.2016,23.04.2021,08.05.2022,40.19356477,44.49697738,"59, Մարշալ Բաղրամյան պողոտա, Արաբկիր, Երևան, 0033, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Basement,Swimmingpool,Sunny,View,Closetothebusstation,Parking,Gate",https://myrealty.am/en/house-for-rent/Baghramyan+av%28Arabkir%29/Arabkir/Yerevan/97452,0,,0,,,for rent,house,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
"Yerevan, Arabkir, Aygedzor St",Yerevan, Arabkir, Aygedzor St,2500.0,7151,360,5,2,2,Stone,2.8,Newly repaired,20.12.2016,23.12.2019,08.05.2022,40.1915091,44.4996232,"33, Այգեձորի փողոց, Արաբկիր, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Irondoor,Openbalcony,Tile,Swimmingpool,Sunny,View,Closetothebusstation,Garage,Gate",https://myrealty.am/en/house-for-rent/Aygedzor+St/Arabkir/Yerevan/33059,0,,0,,,for rent,house,bars.am,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
"Yerevan, Center, Baghramyan Ave 1 alley",Yerevan, Center, Baghramyan Ave 1 alley,2500.0,6143,50,5,3,3,Other,3.0,Good,17.12.2016,23.12.2019,08.05.2022,40.1841364,44.4315916,"3/1, Հաղթանակի 1–ին փողոց, Հաղթանակ, Մալաթիա-Սեբաստիա, Երևան, 0084, Հայաստան","Heating,Gas,Hotwater,Internet,Air-conditioner,Centralheating,Electricity,water24/7,Water","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Closetothebusstation,Fireplace",https://myrealty.am/en/house-for-rent/Baghramyan+Ave+1+alley/Center/Yerevan/32782,0,,0,,,for rent,house,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Avan, Abovyan dis",Yerevan, Avan, Abovyan dis,1700.0,6073,600,6,2,2,Monolit,3.0,Newly repaired,17.12.2016,29.10.2019,08.05.2022,40.2181829,44.57177,"30/3, Ալմա-Աթայի փողոց, Ավան, Երևան, 0060, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Eurowindows,Grating,Irondoor,Loggia,Openbalcony,Storageroom,Basement,Tile,Parquet,Heatedfloor,Securitysystem,Gym,Sunny,View,Bilateral,Garage,Playground,Park,Gate",https://myrealty.am/en/new-build-house-for-rent/Abovyan+dis/Avan/Yerevan/32766,0,,0,,,for rent,house,bars.am,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1
